Reading parameters:
	 rhs_function=2
	 nx=161
	 ny=161
	 foutput=1000
	 nstep_max=100000
	 tolerance=1e-08
Step 186, Diff=1.41272e-06
Step 187, Diff=1.40674e-06
Step 188, Diff=1.40083e-06
Step 189, Diff=1.39496e-06
Step 190, Diff=1.38915e-06
Step 191, Diff=1.38339e-06
Step 192, Diff=1.37769e-06
Step 193, Diff=1.37204e-06
Step 194, Diff=1.36644e-06
Step 195, Diff=1.36089e-06
Step 196, Diff=1.35539e-06
Step 197, Diff=1.34994e-06
Step 198, Diff=1.34454e-06
Step 199, Diff=1.33918e-06
Step 200, Diff=1.33388e-06
Step 201, Diff=1.32861e-06
Step 202, Diff=1.3234e-06
Step 203, Diff=1.31823e-06
Step 204, Diff=1.31311e-06
Step 205, Diff=1.30803e-06
Step 206, Diff=1.30299e-06
Step 207, Diff=1.298e-06
Step 208, Diff=1.29304e-06
Step 209, Diff=1.28813e-06
Step 210, Diff=1.28327e-06
Step 211, Diff=1.27844e-06
Step 212, Diff=1.27365e-06
Step 213, Diff=1.2689e-06
Step 214, Diff=1.26419e-06
Step 215, Diff=1.25952e-06
Step 216, Diff=1.25489e-06
Step 217, Diff=1.2503e-06
Step 218, Diff=1.24574e-06
Step 219, Diff=1.24122e-06
Step 220, Diff=1.23673e-06
Step 221, Diff=1.23228e-06
Step 222, Diff=1.22787e-06
Step 223, Diff=1.22349e-06
Step 224, Diff=1.21915e-06
Step 225, Diff=1.21484e-06
Step 226, Diff=1.21056e-06
Step 227, Diff=1.20632e-06
Step 228, Diff=1.20211e-06
Step 229, Diff=1.19793e-06
Step 230, Diff=1.19378e-06
Step 231, Diff=1.18967e-06
Step 232, Diff=1.18559e-06
Step 233, Diff=1.18153e-06
Step 234, Diff=1.17751e-06
Step 235, Diff=1.17352e-06
Step 236, Diff=1.16956e-06
Step 237, Diff=1.16563e-06
Step 238, Diff=1.16173e-06
Step 239, Diff=1.15785e-06
Step 240, Diff=1.15401e-06
Step 241, Diff=1.15019e-06
Step 242, Diff=1.1464e-06
Step 243, Diff=1.14264e-06
Step 244, Diff=1.1389e-06
Step 245, Diff=1.13519e-06
Step 246, Diff=1.13151e-06
Step 247, Diff=1.12786e-06
Step 248, Diff=1.12423e-06
Step 249, Diff=1.12062e-06
Step 250, Diff=1.11705e-06
Step 251, Diff=1.11349e-06
Step 252, Diff=1.10997e-06
Step 253, Diff=1.10646e-06
Step 254, Diff=1.10298e-06
Step 255, Diff=1.09953e-06
Step 256, Diff=1.0961e-06
Step 257, Diff=1.09269e-06
Step 258, Diff=1.08931e-06
Step 259, Diff=1.08594e-06
Step 260, Diff=1.08261e-06
Step 261, Diff=1.07929e-06
Step 262, Diff=1.076e-06
Step 263, Diff=1.07272e-06
Step 264, Diff=1.06947e-06
Step 265, Diff=1.06625e-06
Step 266, Diff=1.06304e-06
Step 267, Diff=1.05985e-06
Step 268, Diff=1.05669e-06
Step 269, Diff=1.05355e-06
Step 270, Diff=1.05042e-06
Step 271, Diff=1.04732e-06
Step 272, Diff=1.04424e-06
Step 273, Diff=1.04117e-06
Step 274, Diff=1.03813e-06
Step 275, Diff=1.03511e-06
Step 276, Diff=1.0321e-06
Step 277, Diff=1.02912e-06
Step 278, Diff=1.02615e-06
Step 279, Diff=1.02321e-06
Step 280, Diff=1.02028e-06
Step 281, Diff=1.01737e-06
Step 282, Diff=1.01447e-06
Step 283, Diff=1.0116e-06
Step 284, Diff=1.00874e-06
Step 285, Diff=1.0059e-06
Step 286, Diff=1.00308e-06
Step 287, Diff=1.00028e-06
Step 288, Diff=9.97493e-07
Step 289, Diff=9.94723e-07
Step 290, Diff=9.91971e-07
Step 291, Diff=9.89235e-07
Step 292, Diff=9.86515e-07
Step 293, Diff=9.83812e-07
Step 294, Diff=9.81125e-07
Step 295, Diff=9.78454e-07
Step 296, Diff=9.75799e-07
Step 297, Diff=9.7316e-07
Step 298, Diff=9.70536e-07
Step 299, Diff=9.67928e-07
Step 300, Diff=9.65336e-07
Step 301, Diff=9.62758e-07
Step 302, Diff=9.60196e-07
Step 303, Diff=9.57648e-07
Step 304, Diff=9.55115e-07
Step 305, Diff=9.52597e-07
Step 306, Diff=9.50094e-07
Step 307, Diff=9.47604e-07
Step 308, Diff=9.4513e-07
Step 309, Diff=9.42669e-07
Step 310, Diff=9.40222e-07
Step 311, Diff=9.37789e-07
Step 312, Diff=9.3537e-07
Step 313, Diff=9.32964e-07
Step 314, Diff=9.30572e-07
Step 315, Diff=9.28194e-07
Step 316, Diff=9.25829e-07
Step 317, Diff=9.23476e-07
Step 318, Diff=9.21137e-07
Step 319, Diff=9.18811e-07
Step 320, Diff=9.16498e-07
Step 321, Diff=9.14197e-07
Step 322, Diff=9.11909e-07
Step 323, Diff=9.09634e-07
Step 324, Diff=9.07371e-07
Step 325, Diff=9.0512e-07
Step 326, Diff=9.02881e-07
Step 327, Diff=9.00655e-07
Step 328, Diff=8.9844e-07
Step 329, Diff=8.96238e-07
Step 330, Diff=8.94047e-07
Step 331, Diff=8.91867e-07
Step 332, Diff=8.897e-07
Step 333, Diff=8.87544e-07
Step 334, Diff=8.85399e-07
Step 335, Diff=8.83265e-07
Step 336, Diff=8.81143e-07
Step 337, Diff=8.79032e-07
Step 338, Diff=8.76932e-07
Step 339, Diff=8.74843e-07
Step 340, Diff=8.72765e-07
Step 341, Diff=8.70697e-07
Step 342, Diff=8.6864e-07
Step 343, Diff=8.66594e-07
Step 344, Diff=8.64558e-07
Step 345, Diff=8.62533e-07
Step 346, Diff=8.60518e-07
Step 347, Diff=8.58513e-07
Step 348, Diff=8.56518e-07
Step 349, Diff=8.54533e-07
Step 350, Diff=8.52559e-07
Step 351, Diff=8.50594e-07
Step 352, Diff=8.4864e-07
Step 353, Diff=8.46695e-07
Step 354, Diff=8.44759e-07
Step 355, Diff=8.42834e-07
Step 356, Diff=8.40918e-07
Step 357, Diff=8.39011e-07
Step 358, Diff=8.37114e-07
Step 359, Diff=8.35226e-07
Step 360, Diff=8.33347e-07
Step 361, Diff=8.31478e-07
Step 362, Diff=8.29617e-07
Step 363, Diff=8.27766e-07
Step 364, Diff=8.25924e-07
Step 365, Diff=8.2409e-07
Step 366, Diff=8.22266e-07
Step 367, Diff=8.2045e-07
Step 368, Diff=8.18643e-07
Step 369, Diff=8.16844e-07
Step 370, Diff=8.15054e-07
Step 371, Diff=8.13273e-07
Step 372, Diff=8.115e-07
Step 373, Diff=8.09736e-07
Step 374, Diff=8.0798e-07
Step 375, Diff=8.06232e-07
Step 376, Diff=8.04492e-07
Step 377, Diff=8.0276e-07
Step 378, Diff=8.01037e-07
Step 379, Diff=7.99321e-07
Step 380, Diff=7.97614e-07
Step 381, Diff=7.95914e-07
Step 382, Diff=7.94223e-07
Step 383, Diff=7.92539e-07
Step 384, Diff=7.90863e-07
Step 385, Diff=7.89194e-07
Step 386, Diff=7.87533e-07
Step 387, Diff=7.8588e-07
Step 388, Diff=7.84234e-07
Step 389, Diff=7.82596e-07
Step 390, Diff=7.80965e-07
Step 391, Diff=7.79342e-07
Step 392, Diff=7.77726e-07
Step 393, Diff=7.76117e-07
Step 394, Diff=7.74515e-07
Step 395, Diff=7.72921e-07
Step 396, Diff=7.71333e-07
Step 397, Diff=7.69753e-07
Step 398, Diff=7.68179e-07
Step 399, Diff=7.66613e-07
Step 400, Diff=7.65053e-07
Step 401, Diff=7.63501e-07
Step 402, Diff=7.61955e-07
Step 403, Diff=7.60416e-07
Step 404, Diff=7.58884e-07
Step 405, Diff=7.57358e-07
Step 406, Diff=7.55839e-07
Step 407, Diff=7.54327e-07
Step 408, Diff=7.52821e-07
Step 409, Diff=7.51322e-07
Step 410, Diff=7.49829e-07
Step 411, Diff=7.48342e-07
Step 412, Diff=7.46862e-07
Step 413, Diff=7.45388e-07
Step 414, Diff=7.43921e-07
Step 415, Diff=7.4246e-07
Step 416, Diff=7.41005e-07
Step 417, Diff=7.39556e-07
Step 418, Diff=7.38113e-07
Step 419, Diff=7.36676e-07
Step 420, Diff=7.35246e-07
Step 421, Diff=7.33821e-07
Step 422, Diff=7.32402e-07
Step 423, Diff=7.3099e-07
Step 424, Diff=7.29583e-07
Step 425, Diff=7.28182e-07
Step 426, Diff=7.26786e-07
Step 427, Diff=7.25397e-07
Step 428, Diff=7.24013e-07
Step 429, Diff=7.22635e-07
Step 430, Diff=7.21263e-07
Step 431, Diff=7.19896e-07
Step 432, Diff=7.18535e-07
Step 433, Diff=7.1718e-07
Step 434, Diff=7.15829e-07
Step 435, Diff=7.14485e-07
Step 436, Diff=7.13146e-07
Step 437, Diff=7.11812e-07
Step 438, Diff=7.10484e-07
Step 439, Diff=7.09161e-07
Step 440, Diff=7.07843e-07
Step 441, Diff=7.06531e-07
Step 442, Diff=7.05223e-07
Step 443, Diff=7.03921e-07
Step 444, Diff=7.02625e-07
Step 445, Diff=7.01333e-07
Step 446, Diff=7.00046e-07
Step 447, Diff=6.98765e-07
Step 448, Diff=6.97489e-07
Step 449, Diff=6.96217e-07
Step 450, Diff=6.94951e-07
Step 451, Diff=6.93689e-07
Step 452, Diff=6.92433e-07
Step 453, Diff=6.91181e-07
Step 454, Diff=6.89935e-07
Step 455, Diff=6.88693e-07
Step 456, Diff=6.87456e-07
Step 457, Diff=6.86223e-07
Step 458, Diff=6.84996e-07
Step 459, Diff=6.83773e-07
Step 460, Diff=6.82555e-07
Step 461, Diff=6.81342e-07
Step 462, Diff=6.80133e-07
Step 463, Diff=6.78929e-07
Step 464, Diff=6.77729e-07
Step 465, Diff=6.76534e-07
Step 466, Diff=6.75343e-07
Step 467, Diff=6.74157e-07
Step 468, Diff=6.72976e-07
Step 469, Diff=6.71799e-07
Step 470, Diff=6.70626e-07
Step 471, Diff=6.69458e-07
Step 472, Diff=6.68294e-07
Step 473, Diff=6.67134e-07
Step 474, Diff=6.65979e-07
Step 475, Diff=6.64828e-07
Step 476, Diff=6.63682e-07
Step 477, Diff=6.62539e-07
Step 478, Diff=6.61401e-07
Step 479, Diff=6.60267e-07
Step 480, Diff=6.59137e-07
Step 481, Diff=6.58011e-07
Step 482, Diff=6.5689e-07
Step 483, Diff=6.55772e-07
Step 484, Diff=6.54659e-07
Step 485, Diff=6.5355e-07
Step 486, Diff=6.52445e-07
Step 487, Diff=6.51343e-07
Step 488, Diff=6.50246e-07
Step 489, Diff=6.49153e-07
Step 490, Diff=6.48063e-07
Step 491, Diff=6.46978e-07
Step 492, Diff=6.45896e-07
Step 493, Diff=6.44819e-07
Step 494, Diff=6.43745e-07
Step 495, Diff=6.42675e-07
Step 496, Diff=6.41609e-07
Step 497, Diff=6.40546e-07
Step 498, Diff=6.39488e-07
Step 499, Diff=6.38433e-07
Step 500, Diff=6.37382e-07
Step 501, Diff=6.36334e-07
Step 502, Diff=6.3529e-07
Step 503, Diff=6.3425e-07
Step 504, Diff=6.33214e-07
Step 505, Diff=6.32181e-07
Step 506, Diff=6.31152e-07
Step 507, Diff=6.30126e-07
Step 508, Diff=6.29104e-07
Step 509, Diff=6.28086e-07
Step 510, Diff=6.27071e-07
Step 511, Diff=6.26059e-07
Step 512, Diff=6.25051e-07
Step 513, Diff=6.24047e-07
Step 514, Diff=6.23046e-07
Step 515, Diff=6.22048e-07
Step 516, Diff=6.21054e-07
Step 517, Diff=6.20063e-07
Step 518, Diff=6.19076e-07
Step 519, Diff=6.18092e-07
Step 520, Diff=6.17111e-07
Step 521, Diff=6.16134e-07
Step 522, Diff=6.15159e-07
Step 523, Diff=6.14189e-07
Step 524, Diff=6.13221e-07
Step 525, Diff=6.12257e-07
Step 526, Diff=6.11296e-07
Step 527, Diff=6.10338e-07
Step 528, Diff=6.09383e-07
Step 529, Diff=6.08432e-07
Step 530, Diff=6.07484e-07
Step 531, Diff=6.06539e-07
